Region,Codigo region,Poblacion,fecha,numero
Coquimbo,04,836096,2020-05-07,51
Valparaiso,05,1960170,2020-05-07,690
Metropolitana,13,8125072,2020-05-07,8382
OHiggins,06,991063,2020-05-07,68
Maule,07,1131939,2020-05-07,93
Nuble,16,511551,2020-05-07,171
Biobio,08,1663696,2020-05-07,736
Araucania,09,1014343,2020-05-07,413
Los Rios,14,405835,2020-05-07,142
Los Lagos,10,891440,2020-05-07,449
Aysen,11,107297,2020-05-07,0
Magallanes,12,178362,2020-05-07,168
Arica y Parinacota,15,252110,2020-05-08,92
Tarapaca,01,382773,2020-05-08,169
Antofagasta,02,691854,2020-05-08,291
Atacama,03,314709,2020-05-08,167
Coquimbo,04,836096,2020-05-08,59
Valparaiso,05,1960170,2020-05-08,573
Metropolitana,13,8125072,2020-05-08,7839
OHiggins,06,991063,2020-05-08,150
Maule,07,1131939,2020-05-08,181
Nuble,16,511551,2020-05-08,110
Biobio,08,1663696,2020-05-08,647
Araucania,09,1014343,2020-05-08,391
Los Rios,14,405835,2020-05-08,127
Los Lagos,10,891440,2020-05-08,849
Aysen,11,107297,2020-05-08,32
Magallanes,12,178362,2020-05-08,58
Arica y Parinacota,15,252110,2020-05-09,127
Tarapaca,01,382773,2020-05-09,184
Antofagasta,02,691854,2020-05-09,215
Atacama,03,314709,2020-05-09,111
Coquimbo,04,836096,2020-05-09,66
Valparaiso,05,1960170,2020-05-09,588
Metropolitana,13,8125072,2020-05-09,8345
OHiggins,06,991063,2020-05-09,131
Maule,07,1131939,2020-05-09,238
Nuble,16,511551,2020-05-09,156
Biobio,08,1663696,2020-05-09,847
Araucania,09,1014343,2020-05-09,174
Los Rios,14,405835,2020-05-09,135
Los Lagos,10,891440,2020-05-09,537
Aysen,11,107297,2020-05-09,35
Magallanes,12,178362,2020-05-09,54
Arica y Parinacota,15,252110,2020-05-10,74
Tarapaca,01,382773,2020-05-10,185
Antofagasta,02,691854,2020-05-10,419
Atacama,03,314709,2020-05-10,101
Coquimbo,04,836096,2020-05-10,370
Valparaiso,05,1960170,2020-05-10,489
Metropolitana,13,8125072,2020-05-10,7691
OHiggins,06,991063,2020-05-10,269
Maule,07,1131939,2020-05-10,446
Nuble,16,511551,2020-05-10,196
Biobio,08,1663696,2020-05-10,715
Araucania,09,1014343,2020-05-10,372
Los Rios,14,405835,2020-05-10,147
Los Lagos,10,891440,2020-05-10,1146
Aysen,11,107297,2020-05-10,102
Magallanes,12,178362,2020-05-10,58
Arica y Parinacota,15,252110,2020-05-11,70
Tarapaca,01,382773,2020-05-11,275
Antofagasta,02,691854,2020-05-11,245
Atacama,03,314709,2020-05-11,133
Coquimbo,04,836096,2020-05-11,95
Valparaiso,05,1960170,2020-05-11,552
Metropolitana,13,8125072,2020-05-11,8498
OHiggins,06,991063,2020-05-11,183
Maule,07,1131939,2020-05-11,333
Nuble,16,511551,2020-05-11,142
Biobio,08,1663696,2020-05-11,386
Araucania,09,1014343,2020-05-11,576
Los Rios,14,405835,2020-05-11,64
Los Lagos,10,891440,2020-05-11,1670
Aysen,11,107297,2020-05-11,93
Magallanes,12,178362,2020-05-11,58
Arica y Parinacota,15,252110,2020-05-12,83
Tarapaca,01,382773,2020-05-12,0
Antofagasta,02,691854,2020-05-12,285
Atacama,03,314709,2020-05-12,86
Coquimbo,04,836096,2020-05-12,48
Valparaiso,05,1960170,2020-05-12,518
Metropolitana,13,8125072,2020-05-12,6424
OHiggins,06,991063,2020-05-12,0
Maule,07,1131939,2020-05-12,245
Nuble,16,511551,2020-05-12,180
Biobio,08,1663696,2020-05-12,522
Araucania,09,1014343,2020-05-12,90
Los Rios,14,405835,2020-05-12,105
Los Lagos,10,891440,2020-05-12,644
Aysen,11,107297,2020-05-12,0
Magallanes,12,178362,2020-05-12,53
Arica y Parinacota,15,252110,2020-05-13,90
Tarapaca,01,382773,2020-05-13,6
Antofagasta,02,691854,2020-05-13,94
Atacama,03,314709,2020-05-13,0
Coquimbo,04,836096,2020-05-13,0
